umap_x,umap_y
8.563501,9.986489
5.592277,9.212175
5.8491135,3.3912477
9.213268,4.6819115
8.696234,6.0502825
8.570257,2.7585964
6.152967,-7.9843616
5.4905767,3.631386
3.890603,5.188345
7.7520385,10.441451
6.0111494,5.334579
6.738542,-7.374135
4.454686,19.514103
0.0144394385,-3.997933
23.169352,2.4540353
7.448891,3.076639
6.7111793,3.09194
11.648164,8.446603
8.399025,8.354096
7.5700345,12.154849
5.933587,4.924481
4.285459,7.890958
7.092169,-6.8313046
7.2955184,10.390353
5.1056476,7.729707
10.947146,8.548655
2.8227308,-1.1405432
7.7619376,0.76257825
5.7357855,5.6564794
22.448967,2.7755523
7.722509,0.7578201
7.2207794,-6.9612823
9.000236,5.686708
4.1045136,8.455875
7.3881207,0.33871225
3.8495,4.049602
9.570195,2.997492
6.8655825,12.281705
4.2283616,-1.1532325
7.419824,-6.991433
6.2456074,0.21273114
21.894802,1.1934177
9.662102,10.229561
5.5795426,9.191893
5.4282913,7.692414
-5.4491153,4.857166
5.2933707,3.8858287
8.643119,6.223876
7.656337,-8.125777
5.5207815,3.708309
23.193909,2.143025
-0.20877238,-4.212212
8.421526,4.24614
6.873022,5.9109797
5.822214,5.0184364
4.929367,19.574484
8.062342,11.400863
10.247751,8.716506
6.889806,10.949744
4.215997,-0.5495481
7.341108,12.204319
6.599276,5.919366
6.9094706,1.4350489
5.9714527,10.349207
10.935945,8.509228
7.2354145,-6.8172593
11.784449,7.1667113
7.320273,1.5657055
6.4511943,-0.058410715
7.1435823,12.12739
6.177399,-1.2483227
6.6505547,12.585844
3.388008,5.677102
